Shipment_ID,Source_City,Destination_City,Food_Product,Vehicle_Type,Road_Type,Weather_Condition,Distance_km,Shipment_Weight_kg,Fuel_Price_INR_per_litre,Avg_Speed_kmph,Transit_Time_hours,Refrigeration_Cost_INR,Toll_Cost_INR,Driver_Cost_INR,Maintenance_Cost_INR,Total_Transportation_Cost_INR,Max_Allowable_Time_hours
SHP00797,Pune,Mumbai,Paneer,Non-Refrigerated Truck,State Highway,Hot,787,2581,94.77,38,63.94,4128.3,755.88,2495.6,642.5,51649.49,33
SHP00798,Ahmedabad,Patna,Frozen Peas,Mini Van,National Highway,Clear,614,11024,108.91,40,29.68,2977.92,4867.36,2055.09,2043.37,104517.53,49
SHP00799,Nagpur,Indore,Paneer,Mini Van,State Highway,Rainy,1076,10122,111.08,67,29.41,11544.28,2283.28,6844.44,1397.06,36634.21,65
SHP00800,Hyderabad,Pune,Milk,Mini Van,Urban Road,Rainy,1903,5655,94.76,69,13.19,1483.64,870.59,3011.22,1200.8,118404.44,16
SHP00801,Delhi,Bhubaneswar,Milk,Refrigerated Truck,State Highway,Rainy,593,12137,95.67,43,66.47,14374.57,3133.14,4323.24,1543.68,15160.85,50
SHP00802,Patna,Bhopal,Milk,Non-Refrigerated Truck,State Highway,Clear,1153,764,109.91,67,55.79,610.18,4081.06,3505.66,3772.92,62161.86,38
SHP00803,Delhi,Raipur,Fresh Vegetables,Refrigerated Truck,State Highway,Hot,898,9544,114.22,35,19.34,9943.01,3610.54,7073.39,1232.1,72715.8,24
SHP00804,Raipur,Kolkata,Fresh Fruits,Mini Van,National Highway,Clear,445,18647,94.62,43,53.49,2437.25,1695.42,2004.48,613.48,55888.37,20
SHP00805,Delhi,Nagpur,Fresh Fruits,Mini Van,State Highway,Foggy,438,15370,108.66,37,11.05,8432.91,1347.01,7886.24,1821.08,68061.67,63
SHP00806,Patna,Bhopal,Fresh Fruits,Non-Refrigerated Truck,State Highway,Hot,1385,14904,99.39,59,39.62,3215.99,4437.84,1133.61,1287.34,94533.84,37
SHP00807,Mumbai,Chennai,Frozen Peas,Refrigerated Truck,State Highway,Clear,1584,16125,92.91,30,21.29,997.66,1130.58,2394.47,1375.6,24582.56,44
SHP00808,Nagpur,Bhubaneswar,Milk,Refrigerated Truck,Urban Road,Hot,94,19651,105.45,54,61.84,12966.61,3832.54,4312.81,1975.69,113992.35,28
SHP00809,Ahmedabad,Nagpur,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Clear,2029,1447,98.88,42,38.76,6647.05,310.37,2221.3,3316.68,50133.84,43
SHP00810,Ahmedabad,Patna,Fresh Fruits,Mini Van,National Highway,Foggy,1914,12404,93.04,56,66.64,4490.7,2213.98,2740.73,3390.32,76573.38,40
SHP00811,Pune,Chennai,Fish,Non-Refrigerated Truck,Urban Road,Foggy,1857,4281,88.22,54,43.79,14235.44,4927.64,7910.74,2088.57,55759.52,37
SHP00812,Hyderabad,Delhi,Fish,Refrigerated Truck,National Highway,Foggy,398,3846,111.01,33,38.27,1688.86,3242.55,5285.95,3400.74,73934.59,23
SHP00813,Hyderabad,Raipur,Cheese,Mini Van,Urban Road,Rainy,775,13839,111.36,60,51.19,5553.42,1691.15,1316.73,913.61,88367.5,63
SHP00814,Chennai,Chennai,Fresh Vegetables,Mini Van,State Highway,Foggy,2184,14655,87.25,47,57.31,3071.77,3558.88,4333.0,1286.58,63323.91,42
SHP00815,Pune,Nagpur,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Rainy,853,16836,104.9,46,5.04,14872.34,1895.95,5070.64,891.74,17826.61,69
SHP00816,Ahmedabad,Chennai,Paneer,Non-Refrigerated Truck,State Highway,Hot,2119,18694,89.88,40,39.52,8417.28,4706.42,3305.68,3708.09,43318.06,63
SHP00817,Lucknow,Bhopal,Milk,Non-Refrigerated Truck,State Highway,Hot,434,19596,104.39,41,56.75,12277.21,1327.67,7213.98,3099.81,97557.63,33
SHP00818,Patna,Patna,Frozen Peas,Refrigerated Truck,National Highway,Hot,1094,12284,112.23,32,31.71,2871.24,1735.92,6669.73,3141.93,70518.17,37
SHP00819,Patna,Bhubaneswar,Fresh Vegetables,Mini Van,State Highway,Clear,1761,7379,92.81,44,7.07,4914.3,3505.98,3826.83,2840.41,92227.16,44
SHP00820,Delhi,Nagpur,Curd,Mini Van,State Highway,Clear,540,5035,95.44,35,5.19,9484.27,4017.41,6300.84,348.99,107137.91,27
SHP00821,Pune,Chennai,Curd,Refrigerated Truck,Urban Road,Rainy,1540,19993,108.85,34,57.98,3081.44,2967.07,4703.02,1082.47,55445.85,19
SHP00822,Kolkata,Ahmedabad,Meat,Mini Van,National Highway,Rainy,1529,14594,107.06,60,17.47,7750.91,1588.51,6692.78,3529.23,45589.19,27
SHP00823,Hyderabad,Kolkata,Paneer,Mini Van,State Highway,Rainy,1753,2977,97.26,37,15.89,14008.4,2950.83,4417.34,2081.83,17817.29,41
SHP00824,Delhi,Kolkata,Milk,Refrigerated Truck,Urban Road,Clear,270,17264,110.46,39,23.69,13988.66,1251.92,1780.57,3048.13,36133.2,70
SHP00825,Bengaluru,Chandigarh,Fresh Vegetables,Mini Van,National Highway,Clear,2062,10219,112.62,32,10.95,5645.77,475.64,3171.8,1103.85,53483.97,22
SHP00826,Delhi,Delhi,Curd,Refrigerated Truck,State Highway,Hot,640,14383,98.58,41,7.62,7984.06,4614.39,5367.08,542.42,20202.22,59
SHP00827,Kolkata,Ahmedabad,Meat,Refrigerated Truck,State Highway,Foggy,1571,3121,86.18,57,63.31,3376.92,2509.47,7709.65,3362.13,18011.54,54
SHP00828,Mumbai,Patna,Frozen Peas,Refrigerated Truck,State Highway,Foggy,862,4081,100.28,41,24.59,14688.49,2505.24,7172.79,1163.8,56202.53,57
SHP00829,Lucknow,Delhi,Milk,Mini Van,State Highway,Clear,192,6162,107.19,59,43.6,8038.14,3774.96,6876.05,1114.97,47824.42,27
SHP00830,Bengaluru,Pune,Curd,Refrigerated Truck,State Highway,Foggy,1899,19985,91.6,48,62.33,3491.54,2888.15,4826.12,1779.78,102353.33,34
SHP00831,Lucknow,Chandigarh,Fresh Fruits,Mini Van,National Highway,Hot,94,2705,87.98,50,70.47,12749.05,2380.58,2308.61,2320.99,8233.53,13
SHP00832,Delhi,Nagpur,Fish,Refrigerated Truck,National Highway,Foggy,500,11924,93.56,46,50.82,6595.42,4014.11,1126.14,2620.85,92765.07,25
SHP00833,Hyderabad,Ranchi,Meat,Non-Refrigerated Truck,Urban Road,Rainy,1309,3939,85.35,43,68.61,9723.99,2480.12,3462.66,3722.53,28972.66,26
SHP00834,Bhopal,Nagpur,Frozen Peas,Mini Van,Urban Road,Hot,1053,1882,106.46,68,32.8,12731.72,4581.11,6374.15,3099.37,106145.65,35
SHP00835,Patna,Indore,Curd,Mini Van,Urban Road,Clear,731,13337,89.38,40,57.69,4983.44,1669.92,2752.69,2248.71,37599.08,47
SHP00836,Kolkata,Raipur,Frozen Peas,Mini Van,National Highway,Rainy,1367,19655,106.71,58,67.76,8879.62,361.25,3042.14,833.22,68321.1,13
SHP00837,Bhopal,Nagpur,Paneer,Non-Refrigerated Truck,National Highway,Clear,2046,6022,92.04,36,7.61,1313.75,916.09,1840.57,804.77,34182.02,58
SHP00838,Patna,Lucknow,Cheese,Refrigerated Truck,National Highway,Clear,842,7292,114.76,30,25.59,3900.88,4132.0,5963.88,783.51,52373.9,45
SHP00839,Ahmedabad,Nagpur,Meat,Non-Refrigerated Truck,State Highway,Rainy,1544,633,100.95,36,54.34,2511.96,4645.81,3006.17,3950.7,32393.22,41
SHP00840,Bengaluru,Bhubaneswar,Fresh Vegetables,Refrigerated Truck,National Highway,Hot,1122,5296,86.24,43,25.44,9840.77,560.39,5399.66,3304.51,47905.61,59
SHP00841,Patna,Jaipur,Fresh Vegetables,Refrigerated Truck,National Highway,Clear,66,12740,108.18,45,5.16,4192.49,4561.79,4668.98,619.07,104458.66,48
SHP00842,Kolkata,Raipur,Curd,Refrigerated Truck,State Highway,Rainy,198,6296,97.3,64,58.88,11519.8,4729.67,7948.59,1424.99,84887.88,59
SHP00843,Indore,Hyderabad,Fresh Fruits,Refrigerated Truck,Urban Road,Rainy,1628,9967,103.22,45,15.2,11536.48,3820.78,7624.16,1488.91,43495.13,21
SHP00844,Bhopal,Ahmedabad,Fresh Fruits,Refrigerated Truck,Urban Road,Clear,1285,12993,113.54,50,25.82,11871.53,3853.22,3759.29,1467.06,103261.47,49
SHP00845,Mumbai,Bhopal,Paneer,Non-Refrigerated Truck,Urban Road,Clear,1789,9199,100.52,42,65.92,2423.1,207.35,6615.29,318.66,10909.91,17
SHP00846,Kolkata,Bhubaneswar,Fresh Vegetables,Mini Van,State Highway,Hot,1065,1029,109.13,47,18.2,8127.7,1268.98,3847.81,1898.97,86094.62,59
SHP00847,Kolkata,Bengaluru,Meat,Non-Refrigerated Truck,State Highway,Rainy,766,2738,94.08,58,64.84,10346.96,1230.2,2888.37,3471.07,77042.23,32
SHP00848,Chandigarh,Hyderabad,Fish,Mini Van,State Highway,Foggy,1609,905,106.44,50,32.73,5180.23,2991.16,1102.1,701.53,48070.41,62
SHP00849,Bengaluru,Kolkata,Fresh Fruits,Mini Van,National Highway,Foggy,1618,4683,87.98,38,66.43,4270.93,3353.25,6031.46,535.58,52445.36,29
SHP00850,Chandigarh,Pune,Fresh Vegetables,Mini Van,Urban Road,Clear,2036,5202,111.8,60,63.63,10910.37,4528.02,2961.57,2698.26,48594.14,33
SHP00851,Lucknow,Kolkata,Cheese,Non-Refrigerated Truck,State Highway,Clear,1560,6052,90.99,66,32.24,5593.81,2542.37,4365.65,3159.65,78717.54,38
SHP00852,Ahmedabad,Chandigarh,Meat,Refrigerated Truck,State Highway,Hot,529,4869,94.06,46,66.69,4108.75,2604.91,2157.63,1200.53,32369.41,67
SHP00853,Hyderabad,Indore,Fish,Refrigerated Truck,Urban Road,Foggy,1761,8752,113.75,60,47.03,8662.17,460.47,1456.05,3656.53,119390.9,48
SHP00854,Hyderabad,Nagpur,Cheese,Mini Van,Urban Road,Clear,93,8773,89.66,53,36.34,9495.6,4987.69,6232.13,2823.54,5333.98,20
SHP00855,Ahmedabad,Bhopal,Fresh Vegetables,Refrigerated Truck,National Highway,Clear,924,13889,92.63,35,40.09,11763.64,4738.86,3051.84,2064.35,58575.87,58
SHP00856,Patna,Lucknow,Curd,Refrigerated Truck,Urban Road,Foggy,1773,4279,102.41,61,8.3,1093.48,545.48,2784.98,3257.87,31372.59,69
SHP00857,Nagpur,Bhubaneswar,Ready-to-Eat Meals,Non-Refrigerated Truck,State Highway,Clear,1085,4474,114.42,60,58.92,3030.09,2876.95,2814.51,1498.43,45763.86,31
SHP00858,Chandigarh,Ranchi,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Foggy,405,15719,105.74,47,23.89,11770.12,1869.59,1729.84,1298.19,104256.73,38
SHP00859,Indore,Bengaluru,Paneer,Refrigerated Truck,Urban Road,Foggy,523,11411,88.43,38,22.37,8212.12,2256.01,1222.51,1268.99,46080.72,43
SHP00860,Bhopal,Ahmedabad,Paneer,Non-Refrigerated Truck,National Highway,Hot,2150,3610,107.44,32,52.65,12188.08,3328.06,2302.86,980.23,29616.82,23
SHP00861,Ahmedabad,Nagpur,Fish,Refrigerated Truck,State Highway,Foggy,2086,14392,97.79,66,29.21,7003.63,2214.62,6602.54,3549.48,47189.0,30
SHP00862,Bhubaneswar,Bengaluru,Cheese,Mini Van,State Highway,Clear,1889,1521,114.77,36,38.96,7161.08,2578.79,7866.17,1750.26,41794.98,45
SHP00863,Delhi,Ahmedabad,Fresh Vegetables,Non-Refrigerated Truck,State Highway,Rainy,1693,11135,103.86,55,32.67,5974.73,1510.7,4603.11,3534.13,63409.48,70
SHP00864,Patna,Hyderabad,Fresh Vegetables,Refrigerated Truck,State Highway,Rainy,1551,12042,100.96,42,38.32,10522.33,595.41,6638.66,3568.9,108486.45,48
SHP00865,Ahmedabad,Ranchi,Curd,Refrigerated Truck,National Highway,Rainy,864,18764,101.72,63,19.11,9058.0,3824.79,2786.0,785.76,85073.46,24
SHP00866,Chandigarh,Kolkata,Frozen Peas,Non-Refrigerated Truck,National Highway,Hot,1140,3506,104.25,58,64.18,6194.6,2016.25,5788.23,448.77,102766.02,42
SHP00867,Indore,Indore,Paneer,Mini Van,State Highway,Clear,450,6977,106.95,62,45.49,3219.45,4455.67,7237.28,3883.43,39634.99,21
SHP00868,Indore,Chandigarh,Frozen Peas,Non-Refrigerated Truck,National Highway,Hot,1373,1715,87.35,34,19.89,534.74,4735.91,5319.61,1081.1,8402.91,25
SHP00869,Kolkata,Chennai,Frozen Peas,Mini Van,State Highway,Hot,54,17204,88.92,65,10.22,1824.58,624.04,5908.79,1713.99,46614.29,39
SHP00870,Ranchi,Indore,Curd,Non-Refrigerated Truck,State Highway,Hot,1308,13129,94.01,44,40.41,2063.68,3484.96,1701.78,781.56,86309.12,26
SHP00871,Kolkata,Bengaluru,Frozen Peas,Refrigerated Truck,Urban Road,Clear,2084,17935,99.34,39,35.83,8756.09,4136.62,3500.89,3803.31,36731.56,27
SHP00872,Bengaluru,Hyderabad,Frozen Peas,Non-Refrigerated Truck,National Highway,Clear,1920,3885,94.33,33,67.41,11508.37,3305.78,1216.75,637.64,36802.93,34
SHP00873,Bengaluru,Bhubaneswar,Curd,Non-Refrigerated Truck,Urban Road,Clear,2095,3681,91.42,68,19.69,7124.76,1777.72,2163.74,3286.79,15688.03,50
SHP00874,Ahmedabad,Ranchi,Fresh Fruits,Mini Van,State Highway,Rainy,2136,5228,112.75,66,63.95,6506.77,1565.71,3083.23,3485.47,28928.34,12
SHP00875,Lucknow,Chandigarh,Frozen Peas,Non-Refrigerated Truck,Urban Road,Foggy,249,15328,85.98,66,56.12,2415.63,2418.81,7672.95,3717.55,89291.27,42
SHP00876,Raipur,Bengaluru,Paneer,Mini Van,State Highway,Clear,1755,12339,113.16,67,36.4,13564.69,1443.1,1283.84,2003.91,63387.58,16
SHP00877,Jaipur,Jaipur,Curd,Non-Refrigerated Truck,State Highway,Clear,2118,2038,112.22,61,63.42,11160.4,4499.49,4162.15,2380.46,12720.67,15
SHP00878,Nagpur,Chennai,Meat,Refrigerated Truck,State Highway,Hot,674,6913,105.51,53,62.61,6545.21,435.37,6400.04,2180.69,119688.35,45
SHP00879,Ahmedabad,Ahmedabad,Frozen Peas,Non-Refrigerated Truck,National Highway,Clear,2183,13786,85.98,49,52.58,1906.71,740.84,4549.91,2292.64,70250.37,59
SHP00880,Jaipur,Hyderabad,Fresh Fruits,Refrigerated Truck,State Highway,Foggy,1175,6778,91.76,67,10.91,12768.22,3111.26,5103.81,1194.85,22886.98,39
SHP00881,Chandigarh,Kolkata,Paneer,Mini Van,State Highway,Rainy,2160,11251,114.37,69,14.89,2959.67,3360.02,7534.47,2435.31,10573.72,61
SHP00882,Delhi,Indore,Milk,Mini Van,National Highway,Clear,1701,2948,112.18,33,44.23,10264.02,3732.96,5558.72,1263.07,69133.88,59
SHP00883,Nagpur,Indore,Paneer,Mini Van,National Highway,Rainy,741,2018,113.94,40,20.69,5424.32,1522.82,6302.67,2462.23,34075.74,16
SHP00884,Bengaluru,Ranchi,Cheese,Mini Van,State Highway,Clear,863,5702,114.88,40,41.48,12963.55,1613.27,1276.45,3348.4,33844.04,14
SHP00885,Nagpur,Lucknow,Meat,Non-Refrigerated Truck,National Highway,Rainy,1677,18626,86.92,45,42.13,9010.71,2185.54,6569.55,310.89,61939.44,29
SHP00886,Kolkata,Nagpur,Ready-to-Eat Meals,Non-Refrigerated Truck,State Highway,Clear,570,1831,102.13,30,43.92,3797.18,1325.54,3954.42,3493.78,58389.28,31
SHP00887,Delhi,Bhopal,Fresh Vegetables,Non-Refrigerated Truck,Urban Road,Hot,2121,11360,110.02,62,42.75,683.63,2010.69,1138.77,1948.38,46379.21,62
SHP00888,Ahmedabad,Jaipur,Cheese,Refrigerated Truck,National Highway,Rainy,2192,9741,94.59,36,29.79,3579.19,3545.21,6947.01,2558.11,98044.74,32
SHP00889,Patna,Pune,Curd,Non-Refrigerated Truck,Urban Road,Hot,345,2714,98.07,32,18.3,5797.37,2593.32,7696.5,1250.23,50998.06,44
SHP00890,Patna,Indore,Curd,Refrigerated Truck,State Highway,Hot,1204,9376,93.51,36,39.26,10771.58,4839.73,5223.35,3995.29,56562.33,42
SHP00891,Jaipur,Bengaluru,Fresh Vegetables,Refrigerated Truck,National Highway,Clear,582,17344,86.14,30,37.67,3633.62,2982.06,7222.26,2575.72,77243.16,22
SHP00892,Jaipur,Bhubaneswar,Fish,Non-Refrigerated Truck,National Highway,Hot,1081,16010,87.18,62,22.71,4291.82,1777.31,2362.07,3899.78,87204.17,15
SHP00893,Lucknow,Kolkata,Fish,Refrigerated Truck,State Highway,Hot,937,9755,85.64,36,7.48,6808.95,1072.67,5226.98,3158.61,47742.85,27
SHP00894,Jaipur,Mumbai,Fresh Vegetables,Mini Van,National Highway,Clear,1479,13587,100.82,33,17.98,1122.35,1255.35,4146.03,3541.25,64869.25,12
SHP00895,Chennai,Chennai,Curd,Non-Refrigerated Truck,National Highway,Hot,2096,4440,103.55,47,41.45,11641.82,277.08,1256.18,1256.53,62751.03,34
SHP00896,Chandigarh,Indore,Paneer,Non-Refrigerated Truck,National Highway,Rainy,572,4164,94.23,66,40.42,1641.94,2322.27,5391.94,2683.64,106085.06,59
SHP00897,Hyderabad,Chennai,Meat,Refrigerated Truck,Urban Road,Rainy,884,14151,109.78,43,13.09,11186.77,4808.07,5033.83,1609.81,52997.87,36
SHP00898,Mumbai,Kolkata,Fresh Fruits,Non-Refrigerated Truck,State Highway,Foggy,1427,19105,111.64,44,45.21,4385.45,3931.06,1313.95,3325.06,57955.75,56
SHP00899,Pune,Hyderabad,Ready-to-Eat Meals,Non-Refrigerated Truck,State Highway,Foggy,560,8858,89.19,54,32.74,7168.99,1643.33,2454.92,3911.47,71211.08,14
SHP00900,Bhubaneswar,Indore,Meat,Refrigerated Truck,State Highway,Foggy,261,6841,86.56,47,48.45,6450.74,4034.11,3026.68,1089.99,81501.81,56
SHP00901,Mumbai,Lucknow,Fresh Vegetables,Non-Refrigerated Truck,National Highway,Foggy,976,7083,94.58,33,64.38,4172.29,4672.47,2363.69,3024.51,5110.83,15
SHP00902,Raipur,Delhi,Curd,Non-Refrigerated Truck,National Highway,Hot,394,1058,106.39,31,24.98,4207.84,3428.93,5551.54,3056.53,79954.99,61
SHP00903,Chandigarh,Raipur,Fish,Non-Refrigerated Truck,National Highway,Rainy,385,18437,100.22,55,27.62,14261.22,2656.66,4721.07,1595.33,22505.25,21
SHP00904,Indore,Ranchi,Curd,Refrigerated Truck,State Highway,Foggy,1413,5109,99.64,49,50.02,4929.34,852.17,3570.48,829.71,117231.18,14
SHP00905,Pune,Jaipur,Fish,Non-Refrigerated Truck,Urban Road,Hot,1947,5801,89.57,44,68.54,3154.84,582.4,4028.21,1480.53,46161.61,66
SHP00906,Hyderabad,Jaipur,Meat,Non-Refrigerated Truck,State Highway,Clear,1957,15691,95.54,35,37.06,4132.14,1250.83,7763.42,920.42,60408.61,46
SHP00907,Delhi,Jaipur,Cheese,Non-Refrigerated Truck,State Highway,Rainy,1751,2961,113.77,66,15.51,10580.42,3383.96,1783.38,3569.02,12852.9,61
SHP00908,Raipur,Indore,Paneer,Mini Van,Urban Road,Clear,2151,3038,95.22,42,67.58,4978.73,942.76,2310.4,3360.75,105298.43,52
SHP00909,Chandigarh,Jaipur,Meat,Non-Refrigerated Truck,National Highway,Foggy,654,4090,102.74,45,35.94,2988.28,2759.2,4766.37,3130.8,33470.39,64
SHP00910,Bhubaneswar,Patna,Paneer,Refrigerated Truck,National Highway,Foggy,345,16578,86.75,67,35.33,6510.03,2295.68,7843.72,3106.15,40247.78,16
SHP00911,Raipur,Mumbai,Frozen Peas,Mini Van,State Highway,Foggy,437,14380,86.92,31,40.71,2204.43,3217.02,6173.42,1779.06,76387.91,58
SHP00912,Pune,Chandigarh,Meat,Refrigerated Truck,Urban Road,Rainy,1875,10990,97.73,30,21.17,6280.65,449.98,6742.83,3655.84,5874.04,41
SHP00913,Raipur,Chandigarh,Milk,Non-Refrigerated Truck,State Highway,Clear,1546,2256,103.12,34,57.36,13002.2,4904.99,6129.45,3298.1,118940.37,14
SHP00914,Jaipur,Ahmedabad,Milk,Non-Refrigerated Truck,State Highway,Clear,1617,7396,96.17,59,47.59,5907.23,3511.63,1547.51,3652.2,63353.47,41
SHP00915,Raipur,Hyderabad,Paneer,Non-Refrigerated Truck,Urban Road,Rainy,1987,19615,90.37,60,68.93,7955.0,3664.35,3054.3,2147.13,100966.59,14
SHP00916,Ahmedabad,Pune,Frozen Peas,Mini Van,Urban Road,Foggy,1404,8672,107.08,61,17.86,11942.54,277.91,4779.72,1349.76,109317.3,55
SHP00917,Raipur,Chennai,Paneer,Non-Refrigerated Truck,National Highway,Foggy,2025,2448,89.2,32,46.1,7981.64,581.43,1433.03,2699.75,5049.19,24
SHP00918,Pune,Ahmedabad,Fresh Vegetables,Refrigerated Truck,State Highway,Hot,86,16717,105.04,32,39.13,1187.14,3501.58,3790.96,2824.26,54243.29,13
SHP00919,Delhi,Bhubaneswar,Milk,Mini Van,Urban Road,Rainy,232,12823,113.7,34,64.84,3615.62,726.29,2470.75,2913.43,107320.37,50
SHP00920,Bhopal,Raipur,Curd,Refrigerated Truck,Urban Road,Clear,1595,868,99.12,64,6.06,13466.82,4497.73,5563.35,1733.69,84641.3,60
SHP00921,Raipur,Chandigarh,Paneer,Refrigerated Truck,Urban Road,Hot,119,16774,91.01,51,55.73,12131.69,3183.0,1689.22,2207.84,90011.44,40
SHP00922,Bhopal,Mumbai,Paneer,Refrigerated Truck,Urban Road,Clear,286,1458,110.26,61,46.37,11529.69,541.16,6505.46,712.87,68420.19,18
SHP00923,Ranchi,Pune,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Clear,513,13441,100.16,52,45.31,8438.31,3145.41,4995.68,2520.51,117258.37,47
SHP00924,Ahmedabad,Bhubaneswar,Fresh Fruits,Refrigerated Truck,State Highway,Hot,1191,7771,112.7,67,63.52,5622.28,4053.13,3611.0,2018.28,16871.01,49
SHP00925,Bhubaneswar,Ahmedabad,Fresh Fruits,Non-Refrigerated Truck,State Highway,Clear,240,4835,106.62,37,44.11,10568.57,4044.36,1980.0,1003.55,105073.42,46
SHP00926,Delhi,Nagpur,Fish,Refrigerated Truck,Urban Road,Hot,979,2915,97.92,33,52.68,10118.58,2125.51,5701.19,2123.23,82940.32,34
SHP00927,Nagpur,Pune,Frozen Peas,Refrigerated Truck,National Highway,Hot,1936,7958,103.52,35,47.91,9820.04,2408.36,6871.84,1588.18,67989.92,18
SHP00928,Patna,Kolkata,Milk,Non-Refrigerated Truck,Urban Road,Hot,1964,14984,90.1,56,8.73,7803.28,3733.43,6936.47,2721.84,81931.09,14
SHP00929,Bhubaneswar,Raipur,Milk,Mini Van,State Highway,Foggy,366,13188,96.62,48,11.67,4261.15,4395.9,1904.53,3287.48,95171.61,70
SHP00930,Mumbai,Bengaluru,Fresh Fruits,Non-Refrigerated Truck,State Highway,Foggy,767,10378,102.82,58,27.02,6813.76,4009.17,7861.83,1815.06,26302.98,55
SHP00931,Raipur,Indore,Paneer,Mini Van,State Highway,Rainy,707,6416,102.7,67,49.95,7925.71,3061.32,3245.62,3384.78,30377.1,21
SHP00932,Bhubaneswar,Jaipur,Paneer,Refrigerated Truck,National Highway,Rainy,1262,6450,102.62,35,5.8,3632.09,3679.57,2687.05,943.49,33169.62,29
SHP00933,Hyderabad,Bhopal,Milk,Non-Refrigerated Truck,National Highway,Hot,807,10169,107.31,32,56.54,3835.81,3331.28,3594.78,2652.28,44861.75,52
SHP00934,Kolkata,Bhubaneswar,Frozen Peas,Mini Van,State Highway,Rainy,1490,4820,88.17,61,17.8,11981.73,2970.34,3985.44,1888.53,70087.2,45
SHP00935,Delhi,Jaipur,Cheese,Mini Van,Urban Road,Foggy,2033,19568,87.21,45,42.05,5136.71,4614.52,5097.81,1692.13,109765.43,41
SHP00936,Ahmedabad,Kolkata,Fresh Vegetables,Non-Refrigerated Truck,State Highway,Foggy,2135,2531,89.44,62,17.68,14618.31,3309.92,4848.48,1144.33,34228.16,20
SHP00937,Pune,Ahmedabad,Ready-to-Eat Meals,Non-Refrigerated Truck,State Highway,Hot,1526,13395,108.77,31,15.97,6827.76,2033.62,2175.44,1196.36,68641.83,43
SHP00938,Chennai,Delhi,Milk,Non-Refrigerated Truck,National Highway,Foggy,1280,19780,86.95,55,26.73,9326.88,4876.89,2954.55,1995.57,117322.38,67
SHP00939,Lucknow,Raipur,Fish,Non-Refrigerated Truck,National Highway,Hot,2023,1399,91.76,64,66.66,7807.15,4758.56,6193.31,3402.18,82866.99,21
SHP00940,Lucknow,Jaipur,Cheese,Non-Refrigerated Truck,National Highway,Rainy,1433,6546,92.64,57,20.17,7650.29,3946.59,2499.19,2340.37,54320.52,63
SHP00941,Nagpur,Bhopal,Milk,Refrigerated Truck,National Highway,Foggy,2062,7561,104.42,40,7.3,13405.09,357.2,5852.38,2417.48,13547.33,62
SHP00942,Mumbai,Mumbai,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Hot,1079,17294,97.05,53,63.99,1848.78,3697.22,6300.1,2936.2,42225.2,40
SHP00943,Delhi,Bhopal,Fresh Fruits,Non-Refrigerated Truck,Urban Road,Hot,1047,14920,90.97,45,33.85,5513.16,343.63,6273.37,1377.14,41970.52,25
SHP00944,Bhubaneswar,Jaipur,Milk,Non-Refrigerated Truck,State Highway,Clear,1546,17365,98.49,54,46.23,4647.16,553.34,6183.67,1707.42,82490.18,17
SHP00945,Pune,Hyderabad,Cheese,Refrigerated Truck,State Highway,Hot,1677,8010,105.56,52,64.23,5227.06,1892.07,2816.63,3438.06,24678.55,16
SHP00946,Ahmedabad,Delhi,Fresh Vegetables,Mini Van,Urban Road,Hot,132,8671,108.58,68,55.38,13732.53,1717.73,3950.56,491.35,61728.02,71
SHP00947,Delhi,Bengaluru,Paneer,Refrigerated Truck,State Highway,Foggy,1450,771,88.72,64,58.16,1513.4,2906.19,4282.74,2199.89,50950.31,66
SHP00948,Chennai,Chennai,Meat,Non-Refrigerated Truck,Urban Road,Clear,708,10745,106.44,54,36.65,4609.11,1370.59,7633.41,2280.56,21134.05,32
SHP00949,Ahmedabad,Kolkata,Fresh Fruits,Mini Van,National Highway,Clear,2199,4035,85.14,68,50.74,11196.37,1156.11,3303.76,2342.53,107174.1,15
SHP00950,Patna,Delhi,Cheese,Non-Refrigerated Truck,National Highway,Clear,1361,14849,106.73,62,69.54,3961.89,3399.61,7567.19,3117.26,76441.23,17
SHP00951,Bengaluru,Nagpur,Fish,Mini Van,National Highway,Foggy,1104,3574,104.83,51,64.51,12580.14,2328.2,7114.37,1969.84,82455.01,29
SHP00952,Chennai,Jaipur,Fish,Non-Refrigerated Truck,Urban Road,Rainy,1387,10452,99.06,39,45.65,5283.81,454.24,6355.26,3421.9,50455.15,19
SHP00953,Delhi,Kolkata,Curd,Refrigerated Truck,State Highway,Hot,1964,8679,89.11,30,9.81,2141.3,2323.49,5811.6,1554.6,101335.91,55
SHP00954,Patna,Bhubaneswar,Meat,Non-Refrigerated Truck,National Highway,Clear,1626,13274,107.94,67,70.62,8028.62,3841.81,4471.61,1556.25,111511.99,14
SHP00955,Ahmedabad,Nagpur,Milk,Refrigerated Truck,National Highway,Clear,992,17680,87.15,51,19.33,7914.35,519.94,1829.28,3866.6,7846.7,12
SHP00956,Mumbai,Kolkata,Curd,Mini Van,State Highway,Foggy,743,8666,111.87,61,28.53,1067.4,4595.88,4404.39,1500.41,56731.29,48
